date,year,week,a95_BAM,a98_BAM,diesel_BAM,oil_USD
2004-12-26T00:00:00Z,2005,1,1.53,1.57,1.56,44.07
2005-01-02T00:00:00Z,2005,2,1.53,1.57,1.56,46.79
2005-01-09T00:00:00Z,2005,3,1.53,1.57,1.56,47.85
2005-01-16T00:00:00Z,2005,4,1.53,1.57,1.56,48.56
2005-01-23T00:00:00Z,2005,5,1.53,1.57,1.56,46.97
2005-01-30T00:00:00Z,2005,6,1.53,1.57,1.56,46.08
2005-02-06T00:00:00Z,2005,7,1.53,1.57,1.56,47.82
2005-02-13T00:00:00Z,2005,8,1.53,1.57,1.56,51.75
2005-02-20T00:00:00Z,2005,9,1.53,1.57,1.56,52.74
2005-02-27T00:00:00Z,2005,10,1.56,1.61,1.62,54.22
2005-03-06T00:00:00Z,2005,11,1.56,1.61,1.62,55.93
2005-03-13T00:00:00Z,2005,12,1.59,1.63,1.69,52.95
2005-03-20T00:00:00Z,2005,13,1.59,1.63,1.69,54.97
2005-03-27T00:00:00Z,2005,14,1.59,1.63,1.69,55.24
2005-04-03T00:00:00Z,2005,15,1.67,1.71,1.72,51.44
2005-04-10T00:00:00Z,2005,16,1.67,1.71,1.72,52.39
2005-04-17T00:00:00Z,2005,17,1.67,1.71,1.72,52
2005-04-24T00:00:00Z,2005,18,1.67,1.71,1.72,50.64
2005-05-01T00:00:00Z,2005,19,1.67,1.71,1.72,50.33
2005-05-08T00:00:00Z,2005,20,1.63,1.67,1.68,47.77
2005-05-15T00:00:00Z,2005,21,1.63,1.67,1.68,50.15
2005-05-22T00:00:00Z,2005,22,1.63,1.67,1.68,53.76
2005-05-29T00:00:00Z,2005,23,1.63,1.67,1.68,53.74
2005-06-05T00:00:00Z,2005,24,1.69,1.74,1.75,56.18
2005-06-12T00:00:00Z,2005,25,1.69,1.74,1.75,59.04
2005-06-19T00:00:00Z,2005,26,1.77,1.81,1.83,58.21
2005-06-26T00:00:00Z,2005,27,1.77,1.81,1.83,60.36
2005-07-03T00:00:00Z,2005,28,1.77,1.81,1.83,59.18
2005-07-10T00:00:00Z,2005,29,1.77,1.81,1.83,57.3
2005-07-17T00:00:00Z,2005,30,1.77,1.81,1.83,59.39
2005-07-24T00:00:00Z,2005,31,1.77,1.81,1.83,61.64
2005-07-31T00:00:00Z,2005,32,1.77,1.81,1.83,64.85
2005-08-07T00:00:00Z,2005,33,1.83,1.87,1.87,64.92
2005-08-14T00:00:00Z,2005,34,1.83,1.87,1.87,66.34
2005-08-21T00:00:00Z,2005,35,1.83,1.87,1.87,68.47
2005-08-28T00:00:00Z,2005,36,2.05,2.09,1.94,64.81
2005-09-04T00:00:00Z,2005,37,1.95,1.99,1.94,63.84
2005-09-11T00:00:00Z,2005,38,1.95,1.99,1.94,66.43
2005-09-18T00:00:00Z,2005,39,1.95,1.99,1.94,66.06
2005-09-25T00:00:00Z,2005,40,1.95,1.99,1.94,63.06
2005-10-02T00:00:00Z,2005,41,1.95,1.99,1.94,62.87
2005-10-09T00:00:00Z,2005,42,1.95,1.99,1.94,62.28
2005-10-16T00:00:00Z,2005,43,1.87,1.91,1.92,61.33
2005-10-23T00:00:00Z,2005,44,1.87,1.91,1.92,60.34
2005-10-30T00:00:00Z,2005,45,1.87,1.91,1.92,58.8
2005-11-06T00:00:00Z,2005,46,1.77,1.82,1.87,57
2005-11-13T00:00:00Z,2005,47,1.77,1.82,1.87,58.13
2005-11-20T00:00:00Z,2005,48,1.77,1.82,1.87,57.78
2005-11-27T00:00:00Z,2005,49,1.72,1.77,1.82,59.83
2005-12-04T00:00:00Z,2005,50,1.72,1.77,1.82,60.32
2005-12-11T00:00:00Z,2005,51,1.72,1.77,1.82,57.97
2005-12-18T00:00:00Z,2005,52,1.72,1.77,1.82,59.82
2006-01-01T00:00:00Z,2006,1,1.72,1.77,1.82,63.39
2006-01-08T00:00:00Z,2006,2,1.72,1.77,1.82,63.74
2006-01-15T00:00:00Z,2006,3,1.72,1.77,1.82,66.79
2006-01-22T00:00:00Z,2006,4,1.79,1.83,1.82,66.82
2006-01-29T00:00:00Z,2006,5,1.79,1.83,1.82,66.59
2006-02-05T00:00:00Z,2006,6,1.79,1.83,1.82,63.06
2006-02-12T00:00:00Z,2006,7,1.79,1.83,1.82,59.37
2006-02-19T00:00:00Z,2006,8,1.79,1.83,1.82,59.93
2006-02-26T00:00:00Z,2006,9,1.79,1.83,1.82,62.27
2006-03-05T00:00:00Z,2006,10,1.79,1.83,1.82,60.89
2006-03-12T00:00:00Z,2006,11,1.79,1.83,1.82,62.64
2006-03-19T00:00:00Z,2006,12,1.79,1.83,1.82,61.36
2006-03-26T00:00:00Z,2006,13,1.79,1.83,1.82,65.67
2006-04-02T00:00:00Z,2006,14,1.79,1.83,1.82,66.56
2006-04-09T00:00:00Z,2006,15,1.85,1.91,1.87,68.85
2006-04-16T00:00:00Z,2006,16,1.85,1.91,1.87,71.87
2006-04-23T00:00:00Z,2006,17,1.92,1.98,1.95,70.38
2006-04-30T00:00:00Z,2006,18,1.92,1.98,1.95,72.14
2006-05-07T00:00:00Z,2006,19,1.92,1.98,1.95,71.5
2006-05-14T00:00:00Z,2006,20,1.92,1.98,1.95,69.07
2006-05-21T00:00:00Z,2006,21,1.92,1.98,1.95,70.35
2006-05-28T00:00:00Z,2006,22,1.92,1.98,1.95,71.53
2006-06-04T00:00:00Z,2006,23,1.92,1.98,1.95,71.54
2006-06-11T00:00:00Z,2006,24,1.92,1.98,1.95,69.48
2006-06-18T00:00:00Z,2006,25,1.92,1.98,1.95,69.94
2006-06-25T00:00:00Z,2006,26,1.92,1.98,1.95,72.65
2006-07-02T00:00:00Z,2006,27,1.92,1.98,1.95,74.65
2006-07-09T00:00:00Z,2006,28,1.98,2.01,1.95,75.21
2006-07-16T00:00:00Z,2006,29,1.98,2.01,1.95,73.98
2006-07-23T00:00:00Z,2006,30,2.05,2.07,1.99,73.87
2006-07-30T00:00:00Z,2006,31,2.05,2.07,1.99,75.2
2006-08-06T00:00:00Z,2006,32,2.05,2.07,1.99,75.63
2006-08-13T00:00:00Z,2006,33,2.05,2.07,1.99,71.79
2006-08-20T00:00:00Z,2006,34,2.05,2.07,1.99,72.12
2006-08-27T00:00:00Z,2006,35,2.05,2.07,1.99,70.01
2006-09-03T00:00:00Z,2006,36,1.99,2.01,1.97,67.53
2006-09-10T00:00:00Z,2006,37,1.99,2.01,1.97,63.98
2006-09-17T00:00:00Z,2006,38,1.92,1.94,1.93,61.4
2006-09-24T00:00:00Z,2006,39,1.82,1.84,1.89,61.94
2006-10-01T00:00:00Z,2006,40,1.82,1.84,1.89,59.77
2006-10-08T00:00:00Z,2006,41,1.82,1.84,1.89,58.58
2006-10-15T00:00:00Z,2006,42,1.82,1.84,1.89,58.48
2006-10-22T00:00:00Z,2006,43,1.82,1.84,1.89,58.88
2006-10-29T00:00:00Z,2006,44,1.82,1.84,1.89,58.55
2006-11-05T00:00:00Z,2006,45,1.82,1.84,1.89,59.96
2006-11-12T00:00:00Z,2006,46,1.82,1.84,1.89,57.56
2006-11-19T00:00:00Z,2006,47,1.82,1.84,1.89,57.24
2006-11-26T00:00:00Z,2006,48,1.82,1.84,1.89,62.02
2006-12-03T00:00:00Z,2006,49,1.82,1.84,1.89,62.32
2006-12-10T00:00:00Z,2006,50,1.82,1.84,1.89,61.91
2006-12-17T00:00:00Z,2006,51,1.82,1.84,1.89,62.4
2006-12-24T00:00:00Z,2006,52,1.82,1.84,1.89,60.66
2006-12-31T00:00:00Z,2007,1,1.82,1.84,1.89,57.76
